#wavel(angs) energy(keV) xsect_ext(1.e22) xsect_sca(1.e22) xsect_abs(1.e22)
15.0 0.8266666666666667 0.9910280369958627 0.4568503646270409 0.5341776723688219
15.006006006006006 0.8263358014808886 0.9915587736870867 0.4569869199820817 0.534571853705005
15.012012012012011 0.8260052010402081 0.9920881897673518 0.45712304912642454 0.5349651406409273
15.018018018018019 0.8256748650269945 0.9926162883904507 0.4572587529491354 0.5353575354413154
15.024024024024024 0.8253447931241255 0.993143072681179 0.45739403232604514 0.5357490403551337
15.03003003003003 0.8250149850149849 0.9936728439195042 0.45752835042649287 0.5361444934930112
15.036036036036036 0.8246854403834631 0.9942124458751429 0.45766085374839316 0.5365515921267496
15.042042042042041 0.8243561589139549 0.9947507105858988 0.4577929414551689 0.5369577691307298
15.048048048048049 0.8240271402913589 0.995287641345927 0.45792461447106375 0.5373630268748631
15.054054054054054 0.8236983842010771 0.9958232414045327 0.4580558737396146 0.5377673676649182
15.06006006006006 0.8233698903290129 0.9963575139874338 0.4581867201756818 0.538170793811752
15.066066066066066 0.8230416583615706 0.9968904623091358 0.4583171546713495 0.5385733076377863
15.072072072072071 0.8227136879856545 0.9974220895673928 0.45844717811784724 0.5389749114495455
15.078078078078079 0.8223859788886676 0.9979523989477216 0.45857679140192886 0.5393756075457927
15.084084084084084 0.8220585307585109 0.9984813936282203 0.45870599540252893 0.5397753982256914
15.09009009009009 0.8217313432835821 0.9990090767744962 0.4588347909980065 0.5401742857764898
15.096096096096096 0.821404416152775 0.9995354515413166 0.45896317906494677 0.54057227247637
15.102102102102101 0.8210777490554783 1.0000605210760438 0.45909116047452425 0.5409693606015196
15.108108108108109 0.8207513416815742 1.00058428851529 0.4592187360966572 0.5413655524186328
15.114114114114114 0.8204251937214384 1.0011067569847807 0.45934590680010823 0.5417608501846723
15.12012012012012 0.8200993048659384 1.0016277570452323 0.4594721589171223 0.54215559812811
15.126126126126126 0.8197736748064324 1.0021390167361348 0.4595728227864163 0.5425661939497184
15.132132132132131 0.8194483032347688 1.0026490018977914 0.4596731372618908 0.5429758646359005
15.138138138138139 0.819123189843285 1.003157715607354 0.4597731030743648 0.543384612532989
15.144144144144144 0.8187983343248066 1.0036651609320453 0.4598727209525977 0.5437924399794476
15.15015015015015 0.8184737363726462 1.0041713409296147 0.45997199162528435 0.5441993493043303
15.156156156156156 0.8181493956806024 1.0046762586484232 0.46007091581851295 0.5446053428299104
15.162162162162161 0.817825311942959 1.005179917129299 0.4601694942562526 0.5450104228730464
15.168168168168169 0.8175014848544843 1.0056823194020208 0.4602677276618966 0.5454145917401241
15.174174174174174 0.8171779141104294 1.0061834684882507 0.4603656167572247 0.545817851731026
15.18018018018018 0.8168545994065282 1.0066833674009357 0.46046316226135886 0.5462202051395768
15.186186186186186 0.8165315404389955 1.007182019143543 0.4605603648929269 0.546621654250616
15.192192192192191 0.8162087369045266 1.0076794267102656 0.460657225368991 0.5470222013412745
15.198198198198199 0.8158861885002963 1.0081755930877216 0.4607537444042955 0.5474218486834262
15.204204204204204 0.8155638949239581 1.008670521252836 0.46084992271265407 0.5478205985401821
15.21021021021021 0.8152418558736426 1.009164214173193 0.4609457610065318 0.5482184531666612
15.216216216216216 0.8149200710479573 1.0096517603143413 0.4610267703532478 0.5486249899610935
15.222222222222221 0.8145985401459853 1.0101344647900004 0.4610967937670935 0.5490376710229068
15.228228228228229 0.8142772628672845 1.0106159597211002 0.4611665328181006 0.5494494269029995
15.234234234234235 0.8139562389118865 1.0110962480156118 0.4612359880758347 0.5498602599397769
15.24024024024024 0.8136354679802956 1.0115753325731418 0.461305160108883 0.5502701724642588
15.246246246246246 0.8133149497734883 1.0120532162838998 0.4613740494852061 0.5506791667986937
15.252252252252251 0.8129946839929121 1.0125299020299061 0.4614426567713589 0.5510872452585472
15.258258258258259 0.8126746703404841 1.013005392685044 0.4615109825327488 0.5514944101522952
15.264264264264265 0.8123549085185914 1.0134796911139603 0.46157902733408096 0.5519006637798793
15.27027027027027 0.8120353982300884 1.0139528001732188 0.46164679173899237 0.5523060084342265
15.276276276276276 0.8117161391782977 1.0144247227108014 0.4617142763095424 0.5527104464012591
15.282282282282281 0.8113971310670073 1.014895461566487 0.4617814816073202 0.5531139799591667
15.288288288288289 0.8110783736004713 1.0153650195712804 0.4618484081929406 0.5535166113783399
15.294294294294295 0.8107598664834085 1.0158333995481368 0.4619150566254414 0.5539183429226954
15.3003003003003 0.8104416094210009 1.016300604311699 0.46198142746316734 0.5543191768485317
15.306306306306306 0.8101236021188934 1.0167666366680357 0.46204752126358106 0.5547191154044546
15.312312312312311 0.8098058442831927 1.0172426726737003 0.4621168515726173 0.555125821101083
15.318318318318319 0.8094883356204665 1.0177182392497273 0.462186127016185 0.5555321122335424
15.324324324324325 0.8091710758377425 1.0181926183177208 0.4622551215477307 0.55593749676999
15.33033033033033 0.8088540646425073 1.0186658127130055 0.4623238357283004 0.556341976984705
15.336336336336336 0.8085373017427061 1.0191378252630314 0.4623922701181596 0.5567455551448718
15.342342342342342 0.808220786846741 1.019608658786497 0.46246042527664066 0.5571482335098564
15.348348348348349 0.8079045196634709 1.0200783160940918 0.46252830176211446 0.5575500143319774
15.354354354354355 0.8075884999022099 1.020546799988145 0.4625959001316753 0.5579508998564697
15.36036036036036 0.8072727272727273 1.0210141132627037 0.462663220941484 0.5583508923212197
15.366366366366366 0.8069572014852452 1.0214802587037777 0.46273026474702594 0.5587499939567517
15.372372372372372 0.8066419222504395 1.021945239089169 0.4627970321023808 0.5591482069867881
